id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
797,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,CARNOUSTIE,-2071798339,5,0,10
798,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,MONTROSE,463927351,5,0,13
799,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
800,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
801,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
802,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,5,0,21
803,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,5,0,20
804,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,5,0,1
805,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,5,0,2
806,SKANDI RONA,-1354178746,SHELL,78865936,GANNET D,-949074899,5,0,16
807,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,3,0,6
808,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,3,0,64
809,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,3,0,65
810,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
811,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
812,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,1,0,11
813,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
814,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
815,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,3,0,3
816,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,3,0,1
817,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,3,0,2
818,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
819,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,1,0,46
820,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,2,0,41
821,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,2,0,11
822,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
823,SKANDI RONA,-1354178746,SHELL,78865936,EGRET,65919135,5,0,4
824,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,5,0,21
825,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,5,0,20
826,SKANDI RONA,-1354178746,SHELL,78865936,GANNET D,-949074899,5,0,16
827,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,5,0,18
